CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
1288-1;N/D;CAPA P/LLUVIA INF. COL. C/BOTON;S;35;
323-0;N/D;CAPA SACO P/LLUVIA;S;28;
336-0;N/D;CARGADOR PD/20W DUAL USB TYPE-C;S;19;
2027-5;N/D;CARGADOR TYPE-C USB 2.1A;S;2;
314-8;N/D;CA¥O CORRUGADO 1/2 NARANJA FLEX. 25MTS;S;4;
315-5;N/D;CA¥O CORRUGADO 1/2 NARANJA FLEX. 25MTS TIGRE;S;19;
317-9;N/D;CA¥O CORRUGADO 3/4 NARANJA FLEX. 25MTS;S;8;
350-6;N/D;CEMENTO FRIO 25 CC *12;S;131;
353-7;N/D;CEPILLO ALAMBRE 64GR;S;54;
354-4;N/D;CEPILLO LAVADERA MADERA;S;177;
1904-0;N/D;CEPILLO LAVADERA PLASTICO;S;25;
356-8;N/D;CERRADURA PARA CAJON MADERA;S;240;
357-5;N/D;CERRADURA PARA MUEBLE GABINETE MADERA;S;24;
358-2;N/D;CHALECO CINTA REFLECTIVA AJUSTABLE;S;29;
359-9;N/D;CHALECO P/MOTOQUERO NARANJA C/VELCO *;S;21;
1294-2;N/D;CHALECO PARA MOTOQUERO C/ZIPER;S;32;
361-2;N/D;CILINDRO PARA CERRADURA;S;5;
365-0;N/D;CINTA AISLANTE 19MMX10MTS TIGRE(1712)*60;S;182;
362-9;N/D;CINTA AISLANTE 19MMX20MTS TIGRE(1713)*40;S;98;
363-6;N/D;CINTA AISLANTE 19MMX5MTS TIGRE(1711)*60;S;162;
371-1;N/D;CINTA ASFALTICA ALUMINIO 10CMX10MTS(5941);S;2;
372-8;N/D;CINTA ASFALTICA ALUMINIO 30CMX10MTS(15815);S;4;
373-5;N/D;CINTA ASFALTICA ALUMINIO 60CMX10MTS(15816);S;1;
1931-6;N/D;CINTA CATRACA 4.5X25MM 4PZ (TL44272);S;1;
374-2;N/D;CINTA CREP 24MM X 50MT TIGRE;S;67;
375-9;N/D;CINTA CREPE 710 12MM X 50MTS SIMPLES;S;9;
376-6;N/D;CINTA CREPE 710 24MM X 50MTS SIMPLES;S;7;
381-0;N/D;CINTA DOBLE FACE ESPUMA 12MMX2MTS(19483);S;32;
383-4;N/D;CINTA DOBLE FACE ESPUMA 19MMX2MTS(19484);S;4;
382-7;N/D;CINTA DOBLE FACE ESPUMA 24MMX2MTS(19485);S;22;
